"Twitter ID","Tamanho da Influência (números mais altos=mais seguidores)","Posição Ideológica (número mais alto = mais à direita)","Semelhança entre seguidores (números próximos=semelhança)"
"vozdacomunidade","7","274.3880733957242","184.90983485849014"
"agenciapublica","6.75","167.08798285013935","208.7110239253008"
"revistacult","6.5","219.8569249581244","264.5720603852489"
"dw_brasil","6.25","275.3191034867279","229.772784094905"
"huffpostbrasil","6.25","215.3467298715833","216.3873900165998"
"felipeneto","16.25","322.4143962565452","155.80730453994505"
"dilmabr","14.25","291.43830702816626","265.45418906838694"
"MarceloAdnet","13.5","349.67360503334146","255.33405473670615"
"jose_simao","13","385.38506547161126","200.29291722714862"
"sensacionalista","12.5","304.7976599883673","130.58204580155981"
"MarinaSilva","12.25","374.46161132755174","267.63493566848916"
"CdNLeon","12.25","331.05247780158766","125.76259996098158"
"nilmoretto","12.25","290.9364279280384","197.92969227919204"
"andrizek","11.25","353.2795277483952","188.95032977576804"
"monicabergamo","10.5","348.69871130787806","144.37207010244498"
"gugachacra","10.25","388.23358351534955","237.41098329342523"
"GreenpeaceBR","9.75","354.41370469121756","280.50066246956453"
"BlogdoNoblat","9.75","426.62677135772884","221.90337413135907"
"155.51870419652334	Ancelmocom","9.5","","395.2866526944818"
"LeoJaime","9.5","392.2877953044823","283.28777677090767"
"chico_pinheiro","9.25","309.62447859703406","179.81654802767048"
"anterogreco","9.25","341.6960113840091","211.629004900164"
"mariana_godoy","9.25","395.27195550364365","114.5713127309465"
"astridfontenell","9","334.7424925156823","274.605616856"
"Sen_Cristovam","8.75","414.32337438386776","120.08714216070894"
"EduardoJorge","8.75","326.67966447632267","248.6137599961531"
"ONUBrasil","8.75","316.17336670465676","268.29276921506164"
"rosana","8","305.4956348035678","215.03363149582293"
"KennedyAlencar","8","288.42676612843746","174.66623363224556"
"CulturaGovBr","7.75","312.9282913193752","198.87663604981086"
"mauriciostycer","7.75","329.8934856646197","196.7167733112491"
"barbaragancia","7.25","286.0674752808968","218.70789174640524"
"FHC","7","410.0048500699512","166.2475703624353"
"SoniaBridi","7","407.51286093005183","235.5609157887014"
"eduardopaes_","7","384.4016466246097","170.6390962672999"
"KatiaAbreu","6.5","310.2254387770219","252.65626819148233"
"Rodrigo_Janot","6.25","351.1155121829758","123.5137903096956"
"flaviaol","6","333.1452056937193","226.2661414182325"
"renancalheiros","5.75","440.87494395238303","231.5738506663744"
"randolfeap","5.75","327.06433926095457","181.10236515217255"
"juliaduailibi","5.25","371.80443630058716","242.14346299279472"
"bollemdb","5.25","298.82087480755325","245.48760340536523"
"pedrodoria","5","338.2174712588928","238.33889345549733"
"marilizpj","5","349.7851970559633","234.99477709148266"
"cidfgomes","4.75","335.9125445884779","173.43704316482328"
"PSBNacional40","4.5","370.91562769420005","188.49025421192638"
"luciaguimaraes","4","360.8458967821876","240.35728957989306"
"REDE_18","4","355.90586602804575","207.03627330962163"
"brunoboghossian","3.75","349.2028753668102","224.2005564422932"
"partidoverde","3.5","380.4850019344176","154.5531430806591"
"Casagrande_ES","3.5","387.77801976861645","182.70682441229008"
"CentralSindical","3.25","319.8122935399839","188.91604068799273"
"AlonFe","3.25","367.78305787876747","251.7928222749234"
"GeraldoJulioPSB","3","452.72823475254256","218.8558224707561"
"ottoalencar","3","412.3490396337452","219.88871669786593"
"CamiloPSB","3","376.1521683583619","162.05742619148668"
"Luciano_Cartaxo","3","342.4787771050273","197.7491465596227"
"dep_paulinho","3","382.8474358577857","252.99136547471912"
"manoeljunior","3","431.44591962889785","236.52226045031222"
"PompeodeMattos","2.75","303.3862727179123","166.84142703208548"
"elizianegama","2.75","414.92176511111063","226.70748119410317"
"venezianovital","2.75","400.4423960922893","193.1526396667531"
"EHolandaJr","2.75","343.9927934554464","178.6483890684726"
"wevertonrocha","2.75","297.12834003699317","183.98507990166303"
"RenanFilho_","2.75","436.81176961203","240.5245973576147"
"senadorjpprates","2.5","279.4798250391454","209.13326216748274"
"BiradoPindare","2.5","280.4724647948064","148.68525822172793"
"andrepdt12","2.5","275.11246181642207","214.60333201724043"
"depjoaomaia","2.5","389.2646397051325","251.13025364246067"
"firmino_filho","2.5","378.08552382150003","247.9172189063981"
"LucianoRezende","2.5","416.48065092889436","188.83546773847172"
"Domingos_Neto","2.5","387.24588481268955","258.1266440662049"
"DeputadoBacelar","2.25","332.57937816269634","260.0202205974267"
"gervasiomaia","2.25","399.39613776096934","228.5110761657406"
"PauloCamara40","2.25","413.7957622059615","132.00111811577017"
"LaercioFederal","2.25","383.1985193091454","215.9487971807881"
"WilsonSantiago_","2.25","390.13145598195393","143.55562273634172"
"Silvio_CFilho","2.25","342.1655032315775","230.36418337194945"
"depjuliodelgado","2.25","378.6597963570597","184.16526450817267"
"RaulHenry","2.25","411.1123291894781","188.49105501607934"
"elcionepmdb","2.25","398.20984163553476","208.8539219001652"
"FabioHenriqueSE","2","337.7786244404828","187.69417394691104"
"RafaelMottaRN","2","417.76236771477664","231.5346505114289"
"iracemaportela","2","391.3380546880914","225.41208787133513"
"ProfIsrael","2","399.86367966123606","168.88664347837812"
"FelixMendoncaJr","2","334.6846201503444","141.14330407622688"
"LuisTibeOficial","2","414.47996914247165","175.92293573938196"
"EliasVazGyn","2","384.2784159625403","148.61629649895298"
"mario_heringer","2","341.9061274860761","224.1197593181025"
"marcivania65","2","303.1044701914488","204.49660797120325"
"eduardodafonte","2","387.8582303030803","216.2558764545286"
"WolneyQueirozM","1.75","319.58621224343256","136.8416656633387"
"rejane_dias","1.75","315.03242502582265","244.13869709272302"
"rodrigoagost","1.75","390.67808938439856","176.41633369231874"
"joaoazevedolins","1.75","358.01208032019383","176.3368766323246"
"CacaLeao","1.75","376.00213576815344","150.6958898114802"
"fabioreis1515","1.75","353.10494095941283","213.6676124823353"
"pedrowestphalen","1.75","425.1513597759046","211.07764105912835"
"DeputadoFoletto","1.75","390.14396613968336","269.67003550091977"
"belivaldochagas","1.75","304.34809838136175","191.55196140072795"
"depfmitidieri","1.75","329.0385801801572","235.2701108633368"
"DepJulioCesarPI","1.75","380.1427573187867","161.9812586289101"
"pradoweliton","1.75","343.39715983018385","157.17640423646793"
"HeitorSchuch","1.75","385.33561341967896","160.16961001607854"
"dep_acoutinho","1.75","419.1267564079504","185.02572698066183"
"dagobertopdt","1.5","407.542969128457","217.66623697381397"
"dpmarciomarinho","1.5","394.1862518088702","167.54256978183514"
"GustinhoRibeiro","1.5","350.39301915273035","202.41848432322305"
"oPedroFernandes","1.5","340.11327333976794","155.3596848407877"
"solidariedadeBR","1.5","424.11308985464035","205.97201257701852"
"MarceloCastroPI","1.5","412.1516868620535","175.97678783612096"
"DepNilsonPinto","1.5","375.97136502723225","166.31036051101813"
"MargaretCoelho","1.5","356.10433304711427","154.9181241854801"
"Altineu","1.5","410.4816861688815","226.40642485027442"
"ZeSilva_","1.25","432.7829794482883","230.96330738823127"
"LeurLomantoJr","1.25","356.62173604073075","234.43961175049301"
"depjpassarinho","0.75","382.5025615787635","226.9480031064801"
"folha","16","373.9294788787677","131.41135715859858"
"bbcbrasil","13.25","367.7246015801483","222.3439079892863"
"tvcultura","9.5","350.9265419012291","166.354074123748"
"observatorio","9.5","316.65219489123336","231.0372143439591"
"JornaldoBrasil","9.5","401.0100493333316","135.37407477705972"
"catracalivre","9.5","294.84536061403526","153.64672786526023"
"folha_poder","8.25","401.60886486685047","181.23004959199724"
"revistatrip","7.75","323.13290736037703","212.96894601590907"
"congemfoco","7.75","368.3730252376799","174.593602094435"
"TVBrasil","7.75","297.43097704978453","230.52674795532752"
"folhailustrada","7.5","366.7021127353661","155.74708489833267"
"opovoonline","6.5","397.6461879083471","217.9673014323736"
"atarde","5.25","365.9343838499651","201.92658669170686"
"rafinhabastos","16.75","484.4457959407206","225.3174954306821"
"LucianoHuck","15.25","473.5687391373075","116.01590800351022"
"MiriamLeitaoCom","12","465.04786353926255","196.47151410921313"
"RomarioOnze","11.5","507.21873649391415","263.8399573445665"
"planalto","10.75","584.1392424920866","177.7611425495203"
"joaquimboficial","10.75","506.4536009879245","158.53525629331904"
"cristilobo","10.5","470.3614398142734","148.204558988699"
"MarceloTas","10.25","500.1293075105113","107.8834429776012"
"MichelTemer","10","564.6024275258613","130.86539323212705"
"joseserra_","10","505.3656373572421","287.2600645813723"
"AndreiaSadi","9.75","541.1441988237647","170.10674451452513"
"reinaldoazevedo","9.75","520.0511326029789","119.0309624707738"
"gcamarotti","9.75","562.336171037387","173.17062588208216"
"MonicaWaldvogel","9.25","487.8100432314666","275.59508820889823"
"geraldoalckmin","9.25","526.0216516956725","282.5645347848562"
"AecioNeves","9","537.2610208756879","210.9224911122011"
"alexandrekalil","8.25","525.0373943277284","251.53149744680672"
"ECantanhede","8.25","545.8691774028335","138.31978287035153"
"beltraomaria","8","468.6278935949813","247.34002028108372"
"CaboDaciolo","8","558.0188784000084","196.16023975263627"
"DoraKramer","7.25","512.7896541842175","139.7671852182773"
"laurojardim","7.25","497.45133304989463","184.57047708357746"
"blogdojosias","7","484.80837006505897","253.62376615064932"
"SergioAguiar07","7","559.8403020096226","269.9606681947965"
"sandraacoutinho","7","545.1397498115045","276.11266409998376"
"thaisheredia","6.75","572.793545370757","261.1360826788687"
"Rede45","6.75","541.7932944074627","252.15959269256336"
"gilmarmendes","6.25","547.4162642422594","238.55726922959457"
"lmegale","6.25","497.94099692285414","246.09953547877583"
"betepacheco_","6.25","537.6505254889405","228.10564331161842"
"MaraLuquet","6","489.781682421668","197.54932847003488"
"professorLFG","6","536.7072984222145","124.94712969815082"
"acmneto_","5.75","445.2852332165003","182.46940160214533"
"MDB_Nacional","5.5","488.8097044240975","156.11311749967302"
"eduardobarao","5.5","459.57336466698365","133.82675246461068"
"MCrivella","5","549.6708932471511","153.0073009980146"
"Arthurvneto","5","537.1681277677229","264.8123461882609"
"ValdoCruz","5","525.3023383017662","266.5985385428819"
"JoelPinheiro85","4.75","573.5266482382949","247.92070328626787"
"democratas","4.75","525.6732096611931","134.45394341497874"
"celsorussomanno","4.5","520.6395160243751","167.41049893919472"
"depwagnermontes","4.5","462.4004592098057","163.12235251137093"
"goescarlos","4.5","535.1886930647902","240.87830526980562"
"brunocovas","4.25","570.4434637174885","202.08276441977247"
"fabiolacidral","4.25","427.61421232966194","266.6561482996406"
