"Bairro","preco","Data","Dormitorios"
"SANTA CECÍLIA","7209 ",2018-04-01,"2"
"SANTANA","6457 ",2018-04-01,"2"
"SÃO MATEUS","4332 ",2018-04-01,"2"
"SÃO MIGUEL PAULISTA","4036 ",2018-04-01,"2"
"SAPOPEMBA","4709 ",2018-04-01,"2"
"SAÚDE","7844 ",2018-04-01,"2"
"TATUAPÉ","6911 ",2018-04-01,"2"
"TUCURUVI","6118 ",2018-04-01,"2"
"VILA ANDRADE","6145 ",2018-04-01,"2"
"VILA CARRÃO","6218 ",2018-04-01,"2"
"VILA CLEMENTINO","8529 ",2018-04-01,"2"
"VILA FORMOSA","6121 ",2018-04-01,"2"
"VILA LEOPOLDINA","9069 ",2018-04-01,"2"
"VILA MARIA","6253 ",2018-04-01,"2"
"VILA MARIANA","8997 ",2018-04-01,"2"
"VILA MASCOTE","7017 ",2018-04-01,"2"
"VILA NOVA CONCEIÇÃO","13305 ",2018-04-01,"2"
"VILA OLÍMPIA","10656 ",2018-04-01,"2"
"VILA PRUDENTE","6075 ",2018-04-01,"2"
"VILA ROMANA","9301 ",2018-04-01,"2"
"VILA SÔNIA","6169 ",2018-04-01,"2"
"ACLIMAÇÃO","7741 ",2019-04-01,"2"
"ALTO DA BOA VISTA","9128 ",2019-04-01,"2"
"BARRA FUNDA","8416 ",2019-04-01,"2"
"BELA VISTA","7665 ",2019-04-01,"2"
"BELÉM","6572 ",2019-04-01,"2"
"BRÁS","5919 ",2019-04-01,"2"
"BROOKLIN PAULISTA","11018 ",2019-04-01,"2"
"BUTANTÃ","5605 ",2019-04-01,"2"
"CAMPO BELO","9828 ",2019-04-01,"2"
"CAMPO GRANDE","5766 ",2019-04-01,"2"
"CAMPO LIMPO","4661 ",2019-04-01,"2"
"CANGAÍBA","4800 ",2019-04-01,"2"
"CASA VERDE","6360 ",2019-04-01,"2"
"CENTRO","6208 ",2019-04-01,"2"
"CHÁCARA KLABIN","10303 ",2019-04-01,"2"
"CONSOLAÇÃO","9384 ",2019-04-01,"2"
